/contrevenants;/contrevenant/adresse;/contrevenant/categorie;/contrevenant/date_infraction;/contrevenant/date_jugement;/contrevenant/description;/contrevenant/etablissement;/contrevenant/montant;/contrevenant/proprietaire;/contrevenant/ville
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2754 Boul. Saint-Charles ;Épicerie avec préparation;30 mai 2013;18 mars 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;CAVALLARO;1 500 $ ;9174-5513 QUEBEC INC.;Kirkland H9H 3B6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1254 Rue Sainte-Catherine Est ;Épicerie avec préparation;30 octobre 2012;22 octobre 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;FOLIE EN VRAC;1 000 $ ;FOLIE EN VRAC INC.;Montréal H2L 2H2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;436 Av. Ogilvy ;Épicerie;12 mars 2013;13 septembre 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;EPICERIE MULTI FAMILY SERVICE;3 000 $ ;HABIBUR RAHMAN  (Fermé changement d'exploitant);Montréal H3N 1M5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1060 Rue Notre-Dame ;Épicerie;23 février 2016;26 mai 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;MARCHE KELLI;600 $ ;PHILIPOSE SARAMA JOSEPH;Lachine H8S 2C2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;436 Av. Ogilvy ;Épicerie;27 septembre 2013;13 septembre 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;EPICERIE MULTI FAMILY SERVICE;4 000 $ ;HABIBUR RAHMAN  (Fermé changement d'exploitant);Montréal H3N 1M5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5595 Ch. de la Côte-de-Liesse ;Distributeur en gros de produits carnés;24 novembre 2015;08 novembre 2016;Est prohibée toute falsification du produit, toute modification frauduleuse de la composition, de la qualité ou de la quantité du produit, toute opération tendant à masquer la mauvaise qualité du produit, à le présenter sous une apparence trompeuse ou à fausser le résultat du pesage, mesurage ou de l'analyse du produit, toute indication frauduleuse tendant à faire croire à un contrôle officiel qui n'a pas eu lieu;DELICES AL-MANAR;500 $ ;9136-4802 QUEBEC INC.;St-Laurent H4M 1V2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1715 Rue Jean-Talon Est ;Charcuterie/fromage;03 mai 2016;20 décembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;MAGASIN LA BAIE DES FROMAGES CANADA;1 250 $ ;MAGASIN LA BAIE DES FROMAGES CANADA INC.;Montréal H2E 1T3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1715 Rue Jean-Talon Est ;Charcuterie/fromage;05 avril 2017;24 mai 2017;"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.";MAGASIN LA BAIE DES FROMAGES CANADA;250 $ ;MAGASIN LA BAIE DES FROMAGES CANADA INC.;Montréal H2E 1T3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7220 Av. Querbes ;Charcuterie/fromage;06 mai 2015;30 août 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;CHARCUTERIE MAKO;1 200 $ ;9231-4558 QUEBEC INC.;Montréal H3N 2B5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7220 Av. Querbes ;Charcuterie/fromage;06 mai 2015;30 août 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;CHARCUTERIE MAKO;1 300 $ ;9231-4558 QUEBEC INC.;Montréal H3N 2B5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;11 mars 2015;14 juin 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;5 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;12 mars 2013;14 mai 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;3 000 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;14 février 2014;12 novembre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;4 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1715 Rue Jean-Talon Est ;Charcuterie/fromage;17 août 2016;10 août 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;MAGASIN LA BAIE DES FROMAGES CANADA;1 750 $ ;MAGASIN LA BAIE DES FROMAGES CANADA INC.;Montréal H2E 1T3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;20 août 2013;28 mai 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;3 000 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;20 novembre 2015;05 avril 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;6 000 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;20 novembre 2015;05 avril 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;PATISSERIE MAISON MOTTAS;1 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;21 janvier 2015;14 juin 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;5 000 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1715 Rue Jean-Talon Est ;Charcuterie/fromage;22 mars 2016;20 décembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;MAGASIN LA BAIE DES FROMAGES CANADA;1 250 $ ;MAGASIN LA BAIE DES FROMAGES CANADA INC.;Montréal H2E 1T3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4968B Ch. Queen-Mary ;Charcuterie/fromage;26 août 2013;28 mai 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;ELLA'S DELI;1 500 $ ;GLF CONSTRUCTION & COMMERCE LTEE  (Fermé);Montréal H3W 1X2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4968B Ch. Queen-Mary ;Charcuterie/fromage;26 août 2013;28 mai 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments. Malgré le premier alinéa, un aveugle, qui accède comme client au local ou à l'aire de service au public, peut être accompagné du chien lui servant de guide.;ELLA'S DELI;800 $ ;GLF CONSTRUCTION & COMMERCE LTEE  (Fermé);Montréal H3W 1X2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;27 août 2015;27 janvier 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;PATISSERIE MAISON MOTTAS;1 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;27 août 2015;27 janvier 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;PATISSERIE MAISON MOTTAS;1 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;303 Av. Mozart Est ;Charcuterie/fromage;28 novembre 2013;05 novembre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE MAISON MOTTAS;3 500 $ ;PATISSERIE MAISON MOTTAS LIMITEE  (Fermé changement d'exploitant);Montréal H2S 1B8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4629 Boul. des Grandes-Prairies ;Charcuterie;09 mai 2014;20 mars 2015;Dans les locaux où s'effectue la découpe, le désossement, le hachage, le saumurage et la préparation des viandes, la température doit être d'au plus 10ºC.;LES VIANDES NADA IMPORT-EXPORT;200 $ ;LES VIANDES NADA IMPORT-EXPORT INC.  (Fermé changement d'exploitant);St-Léonard H1R 1A5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2479 Av. Charland ;Charcuterie;15 mai 2014;08 janvier 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LA MAISON DU RAVIOLI DE MONTREAL INC.;1 500 $ ;LA MAISON DU RAVIOLI DE MONTREAL INC.;Montréal H1Z 1C3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4629 Boul. des Grandes-Prairies ;Charcuterie;19 septembre 2014;25 septembre 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LES VIANDES NADA IMPORT-EXPORT;1 200 $ ;LES VIANDES NADA IMPORT-EXPORT INC.  (Fermé changement d'exploitant);St-Léonard H1R 1A5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7010 Rue Saint-Dominique ;Charcuterie;20 avril 2016;23 février 2017;"Tout produit conditionné en vue de la vente doit porter, en caractères indélébiles, très lisibles et apparents, sur le récipient, l'emballage ou l'enveloppe qui le contient les inscriptions nécessaires pour révéler la nature, l'état, la composition, l'utilisation, la quantité exacte, l'origine et toute particularité du produit; les nom et adresse du fabricant, préparateur, conditionneur, emballeur, fournisseur ou distributeur; le lieu de fabrication, préparation ou conditionnement du produit. L'énumération des composants doit figurer par ordre d'importance décroissant. L'indication de poids doit tenir compte de la perte que peut normalement subir le produit après son conditionnement et être exprimée en poids net.";ZINMAN MARCHE DE VOLAILLES ST-DOMINIQUE;1 750 $ ;3944280 CANADA INC.;Montréal H2S 3B7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7010 Rue Saint-Dominique ;Charcuterie;30 avril 2015;29 mars 2016;"Tout produit conditionné en vue de la vente doit porter, en caractères indélébiles, très lisibles et apparents, sur le récipient, l'emballage ou l'enveloppe qui le contient les inscriptions nécessaires pour révéler la nature, l'état, la composition, l'utilisation, la quantité exacte, l'origine et toute particularité du produit; les nom et adresse du fabricant, préparateur, conditionneur, emballeur, fournisseur ou distributeur; le lieu de fabrication, préparation ou conditionnement du produit. L'énumération des composants doit figurer par ordre d'importance décroissant. L'indication de poids doit tenir compte de la perte que peut normalement subir le produit après son conditionnement et être exprimée en poids net.";ZINMAN MARCHE DE VOLAILLES ST-DOMINIQUE;1 200 $ ;3944280 CANADA INC.;Montréal H2S 3B7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;880 Rue Guy ;Centre d'accueil;04 septembre 2014;21 mai 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;CENTRE BOOTH DE L'ARMEE DU SALUT;1 400 $ ;CONSEIL DE DIRECTION DE L'ARMEE DU SALUT DU CANADA;Montréal H3J 1T4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;800 Boul. Gouin Ouest ;Centre d'accueil;07 décembre 2015;16 septembre 2016;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;ETABLISSEMENT DE DETENTION BORDEAUX;750 $ ;MINISTERE DE LA SECURITE PUBLIQUE;Montréal H3L 1K7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;800 Boul. Gouin Ouest ;Centre d'accueil;10 mars 2016;16 septembre 2016;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;ETABLISSEMENT DE DETENTION BORDEAUX;1 000 $ ;MINISTERE DE LA SECURITE PUBLIQUE;Montréal H3L 1K7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;13030 Rue Notre-Dame Est ;Centre d'accueil;17 juillet 2013;16 janvier 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;CHEZ NANA (RESIDENCE DES TREMBLES);1 700 $ ;RUTH BOUCHARD  (Fermé changement d'exploitant);Montréal H1A 4Y6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;785 Rue Jarry Ouest ;Casse-croûte;02 février 2016;27 septembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LA VIDA CASSE-CROUTE CREOLE;1 250 $ ;MONIQUE JEAN;Montréal H3N 1G7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3315 Ch. Queen-Mary ;Casse-croûte;02 juillet 2014;03 juin 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;SECOND CUP;1 300 $ ;9167-9902 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H3V 1A1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6900 Boul. Décarie ;Casse-croûte;02 mai 2014;25 mars 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;"ELIE ""OR CAFE""";2 000 $ ;9161-3760 QUEBEC INC.  (Fermé);Côte Saint-Luc H3X 2T8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5033 Rue Sherbrooke Ouest ;Casse-croûte;03 octobre 2014;10 février 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;MANDYS;1 000 $ ;9198-4120 QUEBEC INC.;Westmount H4A 1S8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;11111 Rue Notre-Dame Est ;Casse-croûte;05 décembre 2014;25 mai 2016;"Nul ne peut, sans être titulaire d'un permis en vigueur, exploiter un lieu ou un véhicule où est exercée l'activité de restaurateur.";LE GROUPE HATTEM;2 500 $ ;LE GROUPE HATTEM INC.  (Fermé changement d'exploitant);Montréal-Est H1B 2V7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6203 Boul. Léger ;Casse-croûte;05 juillet 2017;09 août 2017;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;PATISSERIE MERSONS;250 $ ;9185-4166 QUEBEC INC.;Montréal-Nord H1G 6K8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;785 Rue Jarry Ouest ;Casse-croûte;05 novembre 2015;29 août 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LA VIDA CASSE-CROUTE CREOLE;2 250 $ ;MONIQUE JEAN;Montréal H3N 1G7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3410 Rue Bélanger ;Casse-croûte;06 juin 2014;15 décembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;MERSON'S PATISSERIE;1 500 $ ;9185-4166 QUEBEC INC.;Montréal H1X 1A6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;785 Rue Jarry Ouest ;Casse-croûte;06 juin 2016;28 mars 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LA VIDA CASSE-CROUTE CREOLE;1 750 $ ;MONIQUE JEAN;Montréal H3N 1G7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1822 Rue Notre-Dame Ouest ;Casse-croûte;06 octobre 2016;28 août 2017;"Tout produit conditionné en vue de la vente doit porter, en caractères indélébiles, très lisibles et apparents, sur le récipient, l'emballage ou l'enveloppe qui le contient les inscriptions nécessaires pour révéler la nature, l'état, la composition, l'utilisation, la quantité exacte, l'origine et toute particularité du produit; les nom et adresse du fabricant, préparateur, conditionneur, emballeur, fournisseur ou distributeur; le lieu de fabrication, préparation ou conditionnement du produit. L'énumération des composants doit figurer par ordre d'importance décroissant. L'indication de poids doit tenir compte de la perte que peut normalement subir le produit après son conditionnement et être exprimée en poids net.";DELI-PANNEUR;750 $ ;9309-8382 QUEBEC INC.;Montréal H3J 1M5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1822 Rue Notre-Dame Ouest ;Casse-croûte;06 octobre 2016;28 août 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;DELI-PANNEUR;2 000 $ ;9309-8382 QUEBEC INC.;Montréal H3J 1M5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3410 Rue Bélanger ;Casse-croûte;06 septembre 2016;09 août 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;MERSON'S PATISSERIE;3 000 $ ;9185-4166 QUEBEC INC.;Montréal H1X 1A6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;709 Ch. Lucerne ;Casse-croûte;08 août 2013;14 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;BAGEL MONT-ROYAL;900 $ ;4318366 CANADA INC.  (Fermé changement d'exploitant);Mont-Royal H3R 2H7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;206 Rue Bernard Ouest ;Casse-croûte;08 juin 2016;06 avril 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LE DEPANNEUR CAFE;640 $ ;9195-6599 QUEBEC INC.;Montréal H2T 2K4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;206 Rue Bernard Ouest ;Casse-croûte;08 juin 2016;06 avril 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LE DEPANNEUR CAFE;700 $ ;9195-6599 QUEBEC INC.;Montréal H2T 2K4
